GroupID_z8,SubhaloID_z8,M200c_z8,logM200c_z8,SubhaloID_z0,GroupID_z0,M200c_z0,logM200c_z0,TrackingStatus
1225,6844,71361430000.0,10.853464126586914,2041974,63754,826855063552.0,11.917429390307104,success
1226,6847,71549560000.0,10.854607582092285,97407,25,219906721185792.0,14.342238503254803,success
1227,6855,131814790000.0,11.119964599609375,1134360,4124,10595285860352.0,13.025112678451128,success
1228,6857,119319750000.0,11.076712608337402,625155,773,31473314824192.0,13.497942485971413,success
1230,6869,67924260000.0,10.832025527954102,1100000,3712,7991060856832.0,12.902604438098102,success
1231,6877,79813360000.0,10.90207576751709,244757,114,179024269672448.0,14.252911910702474,success
1232,6884,135510450000.0,11.131973266601562,605828,716,60128938164224.0,13.779083534570761,success
1234,6895,92926600000.0,10.968140602111816,214510,90,239398222299136.0,14.379120921139139,success
1235,6900,87493830000.0,10.941977500915527,510700,489,63187059736576.0,13.80062814694668,success
1237,6908,116713250000.0,11.067120552062988,374335,254,110979648061440.0,14.04524334324606,success
1238,6912,108997350000.0,11.037416458129883,547226,568,62956708560896.0,13.799042014598683,success
