GroupID_z8,SubhaloID_z8,GroupID_z0,SubhaloID_z0,logM200c_z8,logM200c_z0,M0_bin,ParticleMembership,N_DM_total,N_DM_sampled,N_DM_matched,DM_match_fraction,R_Lag_analytic_cMpc,R50_cMpc,R68_cMpc,R80_cMpc,R90_cMpc,Rrms_cMpc,b_over_a,c_over_a,Triaxiality,R_environment_opt_cMpc,fprog_at_Ropt,Nhalo_R10,Ngal_R10,fprog_R2,fprog_R3,fprog_R5,fprog_R8,fprog_R10,fprog_R15,fprog_R20
872,5309,37,124333,11.183114051818848,14.2959339012316,14.0-14.5,R200c,2790641,10000,10000,1.0,10.625243649321359,7.929972871732607,9.338354380536211,10.469249881693766,11.87927697849693,8.59805848696052,0.660378219532216,0.474647024534051,0.7278858670483396,15.0,0.4871,324,7,0.0,0.0,0.0002,0.0179,0.0912,0.4871,0.8807
1707,8767,92,216757,10.889151573181152,14.31673545029975,14.0-14.5,R200c,2954887,10000,10000,1.0,10.796245396133049,8.14074349720375,9.397981269014416,10.418161290513742,11.737317580672656,8.589294071756713,0.724775888952052,0.5664319203248892,0.6989567844192522,15.0,0.968,381,5,0.0194,0.0473,0.1583,0.4237,0.606,0.968,1.0
2226,10693,40,130741,10.999897003173828,14.371193678484511,14.0-14.5,R200c,3343236,10000,10000,1.0,11.257073200125413,8.251257439447102,9.79545557182052,10.974505836210938,13.05351830801908,9.246273487957648,0.8752921367869978,0.6715064287433485,0.4259198144630529,15.0,0.713,299,2,0.0162,0.0306,0.0858,0.2344,0.3928,0.713,0.9026
354,2612,79,198208,11.06967067718506,14.404651499917891,14.0-14.5,R200c,3604644,10000,10000,1.0,11.54989662766584,7.5901600198692325,8.795524405865853,9.706021135609943,10.733008318261863,7.928858167949327,0.8935282340569581,0.7591341941980158,0.4758084183965547,15.0,0.9958,593,13,0.0186,0.0503,0.187,0.537,0.8058,0.9958,1.0
277,2137,67,180645,11.186795234680176,14.445368866896445,14.0-14.5,R200c,3897389,10000,10000,1.0,11.916550367087456,7.9534077446968325,9.150135655478696,10.22420616466473,11.478383066013535,8.337113301398203,0.93399361078028,0.738042451395788,0.28038173156471785,15.0,0.9809,479,11,0.0161,0.046,0.1643,0.4732,0.6891,0.9809,1.0
1946,9644,44,138686,11.10620403289795,14.521799749075257,>14.5,R200c,4699514,10000,10000,1.0,12.636520715804044,8.642751288246956,9.90636949871136,10.95035176879126,12.70044691558278,9.491783013001953,0.8991893573672661,0.7289305273895018,0.4085229860921804,20.0,0.9367,416,6,0.0128,0.0315,0.1053,0.3111,0.4707,0.8239,0.9367
448,3162,39,128624,11.199921607971191,14.523919963740935,>14.5,R200c,4754974,10000,10000,1.0,12.65710118155361,9.490414756290498,11.032707801636752,12.101219023574808,13.370169441026466,9.855463776436356,0.8230406727715307,0.7144989573796917,0.6590599068279446,20.0,0.9983,328,12,0.0113,0.0314,0.1115,0.2989,0.4404,0.8051,0.9983
433,3076,22,89315,11.125869750976562,14.556736056763258,>14.5,R200c,5105969,10000,10000,1.0,12.979947909050795,9.848917507242417,11.893486859904698,13.338929266857306,14.963560436010722,10.573479493600702,0.735416901096899,0.5223979690962045,0.6314973910770604,20.0,0.7049,194,2,0.0072,0.0168,0.0574,0.137,0.2182,0.4443,0.7049
509,3516,35,120494,11.173197746276855,14.581184876358591,>14.5,R200c,5385281,10000,10000,1.0,13.22581842624129,8.913503779434826,10.26596498545695,11.307778321273542,12.529252574516656,9.285401917101956,0.9412070288765497,0.7647047422805183,0.274860312633138,20.0,0.9734,459,17,0.0109,0.0251,0.0866,0.2423,0.3936,0.7784,0.9734
788,4886,21,86933,11.165194511413574,14.582229421392803,>14.5,R200c,5339065,10000,10000,1.0,13.236426053760173,8.897125754428588,10.24269024837108,11.329927485856047,12.796797615177034,9.296681497128846,0.8370688621291507,0.7616100317724686,0.712741055766372,20.0,0.9985,575,24,0.0137,0.0373,0.1374,0.3878,0.6338,0.9777,0.9985
1753,8927,31,111938,11.094999313354492,14.591262085651834,>14.5,R200c,5576202,10000,10000,1.0,13.32851072745524,10.384574961912005,11.923936574033219,12.976976011212498,14.158823368325132,10.691387201962044,0.790981911394828,0.7215168000987199,0.7808449495965062,20.0,0.9174,238,6,0.0102,0.026,0.0723,0.1563,0.2273,0.5841,0.9174
246,1965,8,47315,11.136171340942385,14.600157544846471,>14.5,R200c,5640962,10000,10000,1.0,13.41982272672173,10.155281737905916,12.059370320840857,13.340672856915422,14.776438768914964,10.900661408180687,0.777774835515858,0.7271949728660072,0.8384482380914126,20.0,0.9766,510,16,0.0143,0.035,0.1057,0.2983,0.465,0.8185,0.9766
